no,lat,lon,depth,mw,dt,east_km,north_km,log_eta,triggered
8538,-8.23,116.3,15,4.2632,2018-08-06 02:34:31,422.902568410955,9090.207731018598,-4.6101536502366836,True
8541,-8.22,116.01,18,4.15384,2018-08-06 03:15:22,390.9568507933963,9091.245976687533,-2.9623991540692445,True
8543,-8.08,116.24,10,4.42724,2018-08-06 03:33:47,416.26265104234966,9106.779944447853,-3.1381093577283794,True
8545,-8.25,116.7,10,4.2632,2018-08-06 03:48:45,466.9605507231401,9088.051681589912,-3.416764965427123,True
8547,-8.21,116.5,10,4.09916,2018-08-06 04:21:07,444.92829499466865,9092.45188981282,-3.7032571671344843,True
8563,-8.12,116.1,10,4.09916,2018-08-06 10:14:53,400.846007744299,9102.325921218782,-2.8553724245192593,True
8566,-8.15,116.03,14,4.37256,2018-08-06 10:38:24,393.1412912685448,9098.991114439394,-2.9769575900442113,True
8577,-8.26,116.15,12,4.2632,2018-08-06 14:18:14,406.38768045629956,9086.85879973993,-2.971270132499856,True
8579,-8.24,116.2,10,4.20852,2018-08-06 14:52:07,411.8902130497012,9089.08145854832,-3.234707437028687,True
8580,-8.23,116.43,12,4.37256,2018-08-06 15:22:10,437.2211709230917,9090.23044812225,-3.5390991875906925,True
8581,-8.43,116.03,21,4.8776,2018-08-06 15:50:55,393.2168693122148,9068.031958492338,-2.7624159930185694,True
8582,-8.37,116.44,10,4.04448,2018-08-06 15:57:11,438.34442712213394,9074.753844541472,-4.448848187208283,True
8588,-8.3,116.24,17,4.04448,2018-08-06 17:37:31,416.30861595334005,9082.456311116333,-3.14975515231011,True
8589,-8.28,116.25,12,4.37256,2018-08-06 17:49:28,417.4057058104705,9084.669651343054,-4.059637769901951,True
8592,-8.32,116.4,10,5.03652,2018-08-06 18:21:19,433.93190570631396,9080.275318390717,-3.8149619503295256,True
8593,-8.15,116.34,10,4.48192,2018-08-06 18:32:59,427.29381504819247,9099.05998905497,-3.678853231608645,True
8594,-8.19,116.33,10,4.42724,2018-08-06 18:36:56,426.19950749824545,9094.635785622748,-4.581501747576393,True
8595,-8.12,116.33,10,4.37256,2018-08-06 18:43:06,426.1866693861146,9102.374963704788,-4.357703952558166,True
8602,-8.19,116.32,10,4.2632,2018-08-06 19:22:38,425.0979580225689,9094.633936835493,-4.450838233397466,True
8603,-8.2,116.33,10,4.42724,2018-08-06 19:27:30,426.2013504524673,9093.530186602951,-5.003881668401179,True
8608,-8.32,116.1,11,4.09916,2018-08-06 20:04:38,400.89567448629134,9080.212739231374,-2.819030929371501,True
8609,-8.24,116.3,10,4.04448,2018-08-06 20:13:00,422.90450324286815,9089.102123154322,-3.3298339680576756,True
8610,-8.37,116.21,10,4.48192,2018-08-06 20:28:25,413.02028060897385,9074.710414060082,-3.0573409193237815,True
8611,-8.11,116.33,20,4.15384,2018-08-06 21:00:17,426.1848443089307,9103.480558430405,-3.907915919458101,True
8615,-8.21,116.38,10,4.37256,2018-08-06 23:16:03,431.7106358045145,9092.433441031828,-3.265348092730931,True
8617,-8.29,116.18,10,4.20852,2018-08-07 00:13:26,409.69869907263165,9083.548799203705,-2.912539129461218,True
8619,-7.9,116.3,10,4.04448,2018-08-07 01:26:38,422.8400288269345,9126.69249092989,-2.5566091355037504,True
8620,-8.16,116.24,10,4.09916,2018-08-07 01:45:03,416.2792236104726,9097.935016902105,-2.8766134926624973,True
8622,-8.16,116.31,10,4.5366,2018-08-07 03:01:10,423.99072620792174,9097.94886775487,-2.973025883463127,True
8623,-8.25,116.25,10,4.09916,2018-08-07 03:18:07,417.3994640863666,9087.986515166636,-3.33892470433223,True
8637,-8.06,116.37,10,4.20852,2018-08-07 05:41:31,430.5833474614548,9109.015535233397,-2.8056300441583257,True
8638,-8.25,116.18,10,4.04448,2018-08-07 05:47:15,409.6895943068102,9087.971356833386,-2.8595430058641815,True
8639,-8.33,116.04,11,4.71868,2018-08-07 06:01:11,394.2908242509644,9079.09153563932,-2.6241884430250066,True
8645,-8.18,116.71,10,4.5366,2018-08-07 09:49:01,468.0562780299498,9095.791280738724,-2.8362446806431656,True
8646,-8.2,116.26,12,4.09916,2018-08-07 10:09:06,418.4906493020366,9093.516653716304,-2.8823094803936136,True
8648,-8.08,116.25,11,4.31788,2018-08-07 10:51:18,417.36451952600277,9106.781985377282,-2.836979936578717,True
8653,-8.07,116.37,10,4.04448,2018-08-07 12:31:22,430.5850530488625,9107.909951639458,-3.257350749538765,True
8654,-8.27,116.21,15,4.48192,2018-08-07 14:04:39,412.99822001019237,9085.766756795176,-3.1980256432854097,True
8660,-8.22,116.23,12,4.09916,2018-08-07 16:26:56,415.19027167073773,9091.299195967058,-2.839959502237849,True
8673,-8.21,116.09,12,4.42724,2018-08-08 00:50:04,399.76665590544684,9092.372530934177,-2.4753380378224223,True
8676,-8.31,116.16,13,4.59128,2018-08-08 02:10:54,407.50075812509016,9081.33290546334,-3.2048545105302906,True
8684,-8.29,116.14,10,4.15384,2018-08-08 11:41:31,405.2934457784088,9083.539486520238,-2.803695319551953,True
8688,-8.0,116.56,14,4.15384,2018-08-08 15:00:49,451.51189632771724,9115.676237040714,-2.4534778077885173,True
8698,-8.15,116.18,11,4.2,2018-08-08 23:32:49,409.66702381284676,9099.027713258363,-2.423287618316354,True
8700,-8.53,116.14,20,4.04448,2018-08-09 03:27:13,405.3517035090797,9057.003695575704,-2.398035479166879,True
8701,-8.44,116.21,14,5.51328,2018-08-09 05:25:32,413.0358797322545,9066.97094160344,-2.5962890924355415,True
8714,-8.19,116.38,35,4.2632,2018-08-09 08:17:36,431.70722295138904,9094.644618631068,-2.788182483244362,True
8715,-8.28,116.07,10,4.2632,2018-08-09 08:29:20,397.5815577718101,9084.627793328156,-2.8785753873838256,True
8718,-8.27,116.5,10,4.09916,2018-08-09 09:06:54,444.93659163412997,9085.818475094262,-3.2711847080721177,True
8731,-8.08,116.46,16,4.2632,2018-08-09 14:27:10,440.503245350037,9106.818599148986,-2.5189278481494743,True
8737,-8.19,116.2,11,4.09916,2018-08-09 17:35:25,411.8791831310268,9094.609614429546,-2.416290444899767,True
8751,-8.33,116.58,10,4.71868,2018-08-09 20:33:03,453.75392323389383,9079.195286836888,-3.189145539836052,True
8752,-8.21,116.2,10,4.42724,2018-08-09 20:55:23,411.88358709459203,9092.398353689036,-2.9705423674802165,True
8767,-8.2,116.51,12,4.37256,2018-08-10 02:10:34,446.0284058952487,9093.558814342066,-2.8324697589293986,True
8783,-8.2,116.45,14,4.2632,2018-08-10 09:59:44,439.4194539124253,9093.550259082733,-2.8027498459332567,True
8784,-8.42,116.57,10,4.37256,2018-08-10 10:40:00,452.66368312784726,9069.244009736905,-3.164907373533109,True
8793,-8.08,116.48,10,4.79814,2018-08-10 15:57:37,442.7068884854483,9106.821464352117,-2.4206907450061124,True
8805,-8.41,116.1,16,4.20852,2018-08-10 20:59:39,400.9184161615305,9070.2617370074,-2.2191821925792095,False
8810,-8.36,116.59,10,4.37256,2018-08-10 22:21:04,454.8584832584342,9075.87975755325,-3.0770163266813206,True
8817,-8.2,116.21,10,4.09916,2018-08-11 01:50:59,412.9829343253282,9093.506164470524,-2.6269138582048464,True
8820,-8.29,116.69,10,4.15384,2018-08-11 04:59:59,465.86266708971556,9083.628657342937,-2.560958887884048,True
8830,-8.01,116.46,10,4.09916,2018-08-11 15:31:03,440.4930373160511,9114.557556813654,-2.193958453852457,False
8831,-8.19,116.32,10,4.48192,2018-08-11 15:42:08,425.0979580225689,9094.633936835493,-2.6399491873112084,True
8837,-8.28,116.45,12,4.31788,2018-08-11 18:53:54,439.4316224766315,9084.705637841938,-3.1126003774151667,True
8847,-8.32,116.65,15,4.15384,2018-08-12 00:59:16,461.4607265810355,9080.308343437126,-2.667366855746837,True
8855,-8.19,116.43,10,4.2632,2018-08-12 13:45:44,437.2148881674001,9094.652766783442,-2.5904362860069625,True
8871,-8.29,116.15,13,4.59128,2018-08-13 01:42:23,406.3947631970194,9083.541856280453,-2.1521816938717175,False
8881,-8.54,116.9,17,4.04448,2018-08-13 14:01:42,488.99506286034256,9056.002091313423,-1.922830953487115,False
8884,-8.37,116.1,32,4.09916,2018-08-13 14:33:21,400.9082787454871,9074.68441010447,-2.0448369368965005,False
8897,-8.47,116.07,15,4.09916,2018-08-13 23:29:34,397.6312278902747,9063.619942127341,-1.9521391149366056,False
8910,-8.35,116.69,10,4.04448,2018-08-14 15:41:24,465.8678604177379,9076.99536629839,-2.4010084109565306,True
8925,-8.21,116.6,10,4.71868,2018-08-15 09:04:10,455.9428304002589,9092.464243559865,-2.400269847652006,True
8926,-8.4,116.65,10,4.0,2018-08-15 09:08:43,461.46858188126333,9071.46390333573,-3.6881608867307727,True
8927,-8.26,116.59,10,4.31788,2018-08-15 09:17:17,454.84704906283264,9086.93535407232,-4.165444407959232,True
8928,-8.32,116.6,18,4.2632,2018-08-15 09:23:35,455.95503520612056,9080.303129086704,-3.9330967479485683,True
8931,-8.14,116.45,10,4.04448,2018-08-15 15:15:41,439.4104045218753,9100.183702227556,-2.2836146107419517,False
8940,-8.25,116.63,10,4.2632,2018-08-15 19:48:23,459.2512522327566,9088.045213563873,-2.490160812582606,True
8943,-8.31,116.64,10,4.42724,2018-08-15 22:12:12,460.35858613165595,9081.41290986191,-2.5162137505266524,True
8978,-8.25,116.6,10,4.59128,2018-08-17 15:21:09,455.94724983991017,9088.042027791766,-2.425974741132501,True
8998,-8.36,116.19,10,4.04448,2018-08-18 12:39:07,410.81584862554774,9075.811579863741,-2.0263946560443657,False
9004,-8.27,116.03,10,4.20852,2018-08-18 15:12:37,393.1733713369506,9085.72295627346,-1.824130791279073,False
9006,-8.25,116.23,14,4.09916,2018-08-18 16:06:45,415.19665678062404,9087.982322184458,-2.058579364228434,False
9009,-8.78,116.24,25,4.15384,2018-08-18 17:39:07,416.4131592628544,9029.38564266483,-1.6714876887735657,False
9011,-8.3,116.06,11,4.31788,2018-08-18 20:12:57,396.4854207520059,9082.413855164023,-2.391780081514531,True
9012,-8.29,116.22,15,4.09916,2018-08-18 23:47:36,414.10390989520823,9083.557668280311,-2.1056523342752897,False
9013,-8.32,116.61,10,5.19544,2018-08-19 04:06:12,457.0561759400879,9080.304227580596,-2.5144793240207677,True
9014,-8.44,116.59,18,6.43545,2018-08-19 04:10:23,454.86772901891334,9067.035240434001,-4.566755844723659,True
9015,-8.42,116.55,10,4.48192,2018-08-19 04:19:35,450.4619513183114,9069.241533864186,-6.2503868590327505,True
9016,-8.36,116.64,10,4.04448,2018-08-19 04:27:49,460.3636209760431,9075.88513597137,-5.450169633533896,True
9017,-8.38,116.58,10,4.31788,2018-08-19 04:45:34,453.75981128873116,9073.667469409473,-5.448275661703958,True
9026,-8.43,116.56,10,4.09916,2018-08-19 06:26:08,451.56406189323616,9068.137215698745,-5.323027513589424,True
9029,-8.32,116.61,10,4.04448,2018-08-19 07:26:37,457.0561759400879,9080.304227580596,-5.177738300044619,True
9036,-8.31,116.68,14,4.48192,2018-08-19 09:30:30,464.7632346142347,9081.416687562029,-3.8277091834500325,True
9038,-8.84,116.52,17,4.09916,2018-08-19 09:47:36,447.2177160621588,9022.80292318038,-3.1475206592830833,True
9039,-8.29,116.69,10,4.79814,2018-08-19 09:50:10,465.86266708971556,9083.628657342937,-4.310589280278919,True
9040,-8.26,116.63,10,4.71868,2018-08-19 10:42:17,459.252277306534,9086.939662008766,-3.6309596900958114,True
9041,-8.26,116.67,10,4.04448,2018-08-19 11:08:31,463.65748638122136,9086.943528076907,-4.040068859572411,True
9044,-8.35,116.69,18,4.04448,2018-08-19 12:41:32,465.8678604177379,9076.99536629839,-3.7383976952464346,True
9050,-8.27,116.73,10,4.20852,2018-08-19 14:23:07,470.2660174998391,9085.842956993238,-3.3160855641497466,True
9051,-8.29,116.7,10,4.2632,2018-08-19 14:34:56,466.9638812490606,9083.62950256091,-4.0526680664619805,True
9052,-8.37,116.7,18,6.70488,2018-08-19 14:56:27,466.97059030773903,9074.785117991987,-3.6596607719575474,True
