no,lat,lon,depth,mw,dt,east_km,north_km,t_days,g
8638,-8.25,116.18,10,4.04448,2018-08-07 05:47:15,409.6895943068102,9087.971356833386,3141.942048611111,0
8639,-8.33,116.04,11,4.71868,2018-08-07 06:01:11,394.2908242509644,9079.09153563932,3141.951724537037,0
8642,-8.21,116.52,11,3.77108,2018-08-07 07:44:00,447.13121399951916,9092.454580208132,3142.023125,0
8643,-8.71,116.03,10,3.88044,2018-08-07 07:56:29,393.29498238103486,9037.072374513255,3142.0317939814813,1
8644,-8.39,116.14,25,3.9898,2018-08-07 08:40:01,405.3175191551595,9072.482945299951,3142.062025462963,0
8645,-8.18,116.71,10,4.5366,2018-08-07 09:49:01,468.0562780299498,9095.791280738724,3142.1099421296294,2
8646,-8.2,116.26,12,4.09916,2018-08-07 10:09:06,418.4906493020366,9093.516653716304,3142.123888888889,0
8647,-8.31,116.46,12,3.77108,2018-08-07 10:16:59,440.537407401673,9081.390409791366,3142.129363425926,0
8648,-8.08,116.25,11,4.31788,2018-08-07 10:51:18,417.36451952600277,9106.781985377282,3142.1531944444446,0
8649,-8.76,116.02,14,3.88044,2018-08-07 11:02:59,392.209190133258,9031.540980203075,3142.1613078703704,1
8650,-8.6,116.11,10,3.9898,2018-08-07 12:02:44,402.06767411606376,9049.256490295267,3142.202800925926,1
8651,-8.56,116.03,10,3.93512,2018-08-07 12:12:01,393.25282093821977,9053.65791999991,3142.2092476851853,1
8653,-8.07,116.37,10,4.04448,2018-08-07 12:31:22,430.5850530488625,9107.909951639458,3142.222685185185,0
8654,-8.27,116.21,15,4.48192,2018-08-07 14:04:39,412.99822001019237,9085.766756795176,3142.2874652777778,0
8655,-8.44,116.16,11,3.77108,2018-08-07 14:07:55,407.531452872462,9066.95944882461,3142.2897337962963,0
8656,-8.05,116.32,24,3.9898,2018-08-07 14:17:01,425.072009623518,9110.112297571075,3142.2960532407405,0
8657,-8.51,115.97,10,3.9898,2018-08-07 14:30:01,386.63448620153633,9059.169347801917,3142.3050810185186,1
8659,-8.69,116.05,10,3.77108,2018-08-07 15:10:20,395.4897348476155,9039.289358761856,3142.333078703704,1
8660,-8.22,116.23,12,4.09916,2018-08-07 16:26:56,415.19027167073773,9091.299195967058,3142.386273148148,0
8661,-8.67,116.34,17,3.77108,2018-08-07 16:58:16,427.390677843458,9041.568337846771,3142.4080324074075,1
8665,-8.5,116.09,10,3.7164,2018-08-07 19:52:08,399.84066113076165,9060.308120384736,3142.528773148148,1
8668,-8.35,116.06,10,3.88044,2018-08-07 20:29:36,396.4985541018114,9076.885471680082,3142.5547916666665,0
8669,-8.27,116.17,14,3.82576,2018-08-07 20:53:46,408.5927763575737,9085.75779788036,3142.571574074074,0
8672,-8.42,116.16,11,3.7164,2018-08-07 22:02:28,407.52669980118685,9069.170755867874,3142.6192824074074,0
8673,-8.21,116.09,12,4.42724,2018-08-08 00:50:04,399.76665590544684,9092.372530934177,3142.7356712962965,0
8674,-8.51,116.53,11,3.77108,2018-08-08 00:59:34,448.272229135437,9059.288753888535,3142.7422685185184,1
8676,-8.31,116.16,13,4.59128,2018-08-08 02:10:54,407.50075812509016,9081.33290546334,3142.7918055555556,0
8677,-8.16,116.27,10,3.7164,2018-08-08 03:21:35,419.584167432192,9097.941116779215,3142.840891203704,0
8679,-8.75,116.05,17,3.77108,2018-08-08 06:34:28,395.5064129524741,9032.655149229753,3142.9748379629627,1
8680,-8.21,116.3,10,3.77108,2018-08-08 07:58:10,422.8987057500733,9092.418945125117,3143.0329629629628,0
8681,-7.96,116.43,10,3.82576,2018-08-08 08:41:54,437.17935263625645,9120.080932346913,3143.0633333333335,0
8682,-8.56,116.35,11,3.77108,2018-08-08 09:11:40,428.4701966060223,9053.732031470803,3143.08400462963,1
8683,-8.72,116.5,20,3.93512,2018-08-08 11:30:07,445.00072882581543,9036.067226885887,3143.180150462963,1
8684,-8.29,116.14,10,4.15384,2018-08-08 11:41:31,405.2934457784088,9083.539486520238,3143.1880671296294,0
8685,-8.41,116.07,11,3.9898,2018-08-08 12:08:32,397.6154216745633,9070.254021637857,3143.2068287037036,0
8686,-8.51,116.15,12,3.93512,2018-08-08 12:34:46,406.4474825962672,9059.217454414746,3143.225046296296,1
8688,-8.0,116.56,14,4.15384,2018-08-08 15:00:49,451.51189632771724,9115.676237040714,3143.3264699074075,0
8693,-8.01,116.53,10,3.9898,2018-08-08 18:08:06,448.20708274489436,9114.567031324767,3143.456527777778,0
8694,-8.45,116.14,10,3.88044,2018-08-08 18:20:09,405.33210079770106,9065.84899435861,3143.4648958333332,0
8695,-8.08,116.42,20,3.9898,2018-08-08 21:33:42,436.0959377883554,9106.81254433,3143.5993055555555,0
8697,-8.22,116.13,21,3.9898,2018-08-08 23:30:58,404.1752507954035,9091.276655373716,3143.680740740741,0
8698,-8.15,116.18,11,4.2,2018-08-08 23:32:49,409.66702381284676,9099.027713258363,3143.682025462963,0
8699,-8.59,116.12,15,3.7164,2018-08-09 03:14:48,403.16558288157324,9050.364706082235,3143.8361805555555,1
8700,-8.53,116.14,20,4.04448,2018-08-09 03:27:13,405.3517035090797,9057.003695575704,3143.844803240741,1
8701,-8.44,116.21,14,5.51328,2018-08-09 05:25:32,413.0358797322545,9066.97094160344,3143.9269675925925,0
8703,-8.25,116.24,10,3.77108,2018-08-09 05:39:59,416.29806166422566,9087.984432472243,3143.937002314815,0
8705,-8.26,116.15,10,3.93512,2018-08-09 05:50:39,406.38768045629956,9086.85879973993,3143.944409722222,0
8711,-8.23,116.25,10,3.93512,2018-08-09 06:33:57,417.39531544164413,9090.197755009845,3143.9744791666667,0
