Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
PS-SU,OTF,124.425,14.864,124.891,14.704,97.2,294.0,7.5,-96.9,110.0,53.2
PS\SU,SUB,124.891,14.704,125.15,14.132,97.5,294.0,-66.0,-71.7,156.0,69.5
PS\SU,SUB,125.15,14.132,125.494,13.306,98.1,293.0,-68.8,-69.9,158.0,99.1
PS\SU,SUB,125.494,13.306,125.686,12.818,98.7,293.0,-70.8,-68.7,159.0,58.1
PS\SU,SUB,125.686,12.818,126.137,12.265,99.1,293.0,-47.4,-87.0,141.0,78.6
PS\SU,SUB,126.137,12.265,126.24,11.63,99.6,293.0,-84.8,-52.2,171.0,71.5
PS\SU,SUB,126.24,11.63,126.214,11.06,100.2,292.0,-94.2,-34.1,183.0,63.5
PS\SU,SUB,126.214,11.06,126.573,10.296,100.8,292.0,-68.7,-73.8,155.0,93.5
PS\SU,SUB,126.573,10.296,126.824,9.449,101.5,292.0,-79.7,-62.8,164.0,98.1
PS\SU,SUB,126.824,9.449,127.053,8.75,102.2,292.0,-78.7,-65.1,162.0,81.7
PS\SU,SUB,127.053,8.75,127.219,8.136,102.7,291.0,-82.7,-61.0,165.0,70.7
PS\SU,SUB,127.219,8.136,127.234,7.292,103.4,291.0,-95.7,-39.2,179.0,94.0
PS\SU,SUB,127.234,7.292,127.25,6.447,104.2,291.0,-96.5,-39.3,179.0,94.0
PS\SU,SUB,127.25,6.447,127.459,5.897,104.8,291.0,-78.4,-69.6,159.0,65.4
PS\SU,SUB,127.459,5.897,127.498,5.474,105.2,291.0,-94.5,-46.1,175.0,47.2
PS\SU,SUB,127.498,5.474,127.836,5.224,105.4,291.0,-29.0,-101.4,127.0,46.6
PS\SU,SUB,127.836,5.224,128.151,4.763,105.6,290.0,-61.0,-86.2,146.0,62.0
PS\SU,SUB,128.151,4.763,128.387,4.335,105.9,290.0,-69.5,-80.0,151.0,54.4
PS\SU,SUB,128.387,4.335,128.684,3.7,106.3,290.0,-75.0,-75.3,155.0,77.8
PS\SU,SUB,128.684,3.7,128.998,3.114,106.7,290.0,-71.5,-79.3,152.0,73.9
PS\SU,SUB,128.998,3.114,129.217,2.671,107.1,290.0,-74.5,-76.9,154.0,55.0
PS\SU,SUB,129.217,2.671,129.246,1.928,107.6,289.0,-99.9,-39.8,178.0,82.6
PS\SU,SUB,129.246,1.928,129.197,1.059,108.2,289.0,-104.0,-30.1,183.0,96.8
SU-BH,OCB,126.872,2.346,127.446,2.319,107.1,115.0,-40.2,99.2,93.0,63.8
SU-BH,CCB,127.446,2.319,128.081,2.29,107.4,115.0,-41.2,99.2,93.0,70.6
SU-BH,CRB,128.081,2.29,128.187,1.974,107.4,115.0,77.3,74.6,161.0,37.1
SU-BH,CTF,128.187,1.974,128.752,1.623,107.2,116.0,11.2,106.6,122.0,73.9
SU-BH,CRB,128.752,1.623,129.197,1.059,106.9,116.0,45.7,96.7,142.0,79.8
BH/SU,SUB,126.872,2.346,126.426,1.706,106.3,294.0,-104.5,19.4,215.0,86.6
MS/SU,SUB,123.43,2.006,123.219,2.024,19.0,358.0,-18.8,2.2,275.0,23.5
MS/SU,SUB,123.219,2.024,122.48,2.377,22.1,2.0,-20.2,9.0,296.0,91.0
MS/SU,SUB,122.48,2.377,121.669,2.309,27.2,3.0,-27.0,-3.8,265.0,90.4
MS/SU,SUB,121.669,2.309,120.824,2.311,32.7,2.0,-32.6,-1.2,270.0,93.9
MS/SU,SUB,120.824,2.311,120.189,2.208,37.5,1.0,-36.8,-7.0,261.0,71.5
MS/SU,SUB,120.189,2.208,119.696,2.033,41.2,0.0,-38.8,-13.8,251.0,58.1
MS/SU,SUB,119.696,2.033,119.306,1.577,44.1,357.0,-30.2,-32.2,221.0,66.7
MS/SU,SUB,119.306,1.577,119.249,0.714,46.0,352.0,-9.3,-45.0,184.0,96.2
MS/SU,CTF,119.249,0.714,119.475,-0.081,46.5,345.0,1.0,-46.5,164.0,91.9
MS-BS,CRB,119.475,-0.081,119.896,-0.859,41.9,23.0,32.9,-26.1,152.0,98.4
MS-BS,CRB,119.896,-0.859,120.388,-1.461,34.3,14.0,27.5,-20.4,141.0,86.5
MS-BS,CRB,120.388,-1.461,120.811,-1.71,28.1,7.0,25.8,-11.2,120.0,54.5
MS-BS,CRB,120.811,-1.71,121.234,-1.959,22.9,1.0,20.0,-11.2,120.0,54.5
MS-BS,CRB,121.234,-1.959,121.728,-2.154,17.7,353.0,15.5,-8.4,112.0,59.0
MS-BS,CRB,121.728,-2.154,122.223,-2.35,12.6,340.0,9.3,-8.4,112.0,59.1
