Source_ID,Region,Main,Segment,Type,Dip_raw,Length_km,Width_km,Mmax,Sliprate,Status,N_vertex,Coords_lonlat
BAN54,Bali-NT-Banda-Maluku,Seram Strike Slip,North Wahai,SS,90,100.0,20.0,7.4,6,No Update,9,"130.03731,-2.67540 129.93413,-2.69416 129.79655,-2.70041 129.69650,-2.68790 129.62146,-2.67852 129.50577,-2.68790 129.43698,-2.66914 129.31504,-2.66289 129.16183,-2.59410"
BAN55,Bali-NT-Banda-Maluku,Seram Strike Slip,North Bula-2,SS,90,129.0,20.0,7.5,3,New,5,"124.22671,-2.53623 124.51489,-2.46377 124.82709,-2.36715 125.13929,-2.27053 125.42747,-2.17391"
BAN56,Bali-NT-Banda-Maluku,Seram Strike Slip,North Bula-1,SS,90,112.0,20.0,7.4,3,New,5,"127.82901,-2.51208 128.06916,-2.48792 128.30931,-2.48792 128.54947,-2.51208 128.81364,-2.53623"
BAN57,Bali-NT-Banda-Maluku,Gorong Fault,Gorong East,SS-LL,90,72.0,20.0,7.2,8,Data Updated,4,"131.04706,-3.88889 131.26320,-3.88889 131.47934,-3.86473 131.69548,-3.88889"
BAN58,Bali-NT-Banda-Maluku,Gorong Fault,Gorong West,SS-LL,90,92.0,20.0,7.3,8,Data Updated,4,"130.32660,-3.86473 130.59077,-3.88889 130.87896,-3.88889 131.14313,-3.91304"
BAN59,Bali-NT-Banda-Maluku,Amahai,Amahai,N,60N,16.0,20.0,6.1,1,New,2,"128.93371,-3.28502 128.93371,-3.42995"
BAN60,Bali-NT-Banda-Maluku,Bobot Fault,Bobot Fault,SS-LL,90,92.0,20.0,7.3,8,Data Updated,4,"129.99039,-3.59903 130.27857,-3.55072 130.56676,-3.50242 130.80691,-3.42995"
BAN61,Bali-NT-Banda-Maluku,Kawa Fault,Mala-Alau,SS-LL,90,65.0,20.0,7.1,8,Data Updated,3,"127.89468,-2.75862 128.23792,-2.79310 128.47925,-2.83352"
BAN62,Bali-NT-Banda-Maluku,Kawa Fault,Teluti,SS-LL,90,74.0,20.0,7.2,8,Data Updated,4,"128.47925,-2.83352 128.58116,-2.85057 128.86720,-2.89655 129.14179,-2.94253"
BAN63,Bali-NT-Banda-Maluku,Ambon,Ambon,N,60SE,33.0,20.0,6.5,1,New,7,"122.77306,-2.83744 122.73775,-2.80193 122.66571,-2.80193 122.61768,-2.85024 122.59366,-2.85024 122.56965,-2.87440 122.52162,-2.87440"
BAN64,Bali-NT-Banda-Maluku,Haruku,Haruku,N,60N,14.0,20.0,6.0,1,New,2,"128.28530,-3.47826 128.40538,-3.47826"
BAN65,Bali-NT-Banda-Maluku,North Buru Fault,North Buru Fault,SS-LL,90,169.0,20.0,7.7,6,Data Updated,6,"126.96446,-2.65700 127.27665,-2.63285 127.63689,-2.63285 127.99712,-2.60870 128.35735,-2.60870 128.45341,-2.58454"
